species_name,Block!,Column!,Row!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,Photo,Cond,Photo_D,Cond_D,area_mm2,SLA_cm_g:4,%N:1,date,date2
Aciphylla glacialis,2,8,g,11,HiElev,LoWat,6,ag11HiElev6,13,2,15,7.424890854,0.216441333,7.288773798,0.20357615,193.7,97.3367,2.7,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,8,g,12,HiElev,HiWat,2,ag12HiElev2,10,9,19,14.24835445,0.36511825,12.26147536,0.462866855,974.5,57.5605,5,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,2,d,12,HiElev,LoWat,3,ag12HiElev3,7,3,10,11.82024277,0.180686961,17.58184988,0.171798651,1486,71.9961,1.2,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,9,g,12,HiElev,LoWat,4,ag12HiElev4,9,7,16,4.654485918,0.11787595,3.582969311,0.093682601,655.9,78.5509,3.4,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,6,a,12,HiElev,HiWat,5,ag12HiElev5,18,5,23,8.914584729,0.140221291,12.79153334,0.146737629,1991,55.9427,2.1,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,15,f,12,HiElev,LoWat,6,ag12HiElev6,10,7,17,10.02336238,0.142470593,6.20557309,0.083049411,616.3,78.4097,3,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,14,h,1,LoElev,LoWat,1,oe1LoElev1,13,13,26,NA,NA,NA,NA,1182,85.4046,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,10,h,1,LoElev,LoWat,2,oe1LoElev2,4,12,16,NA,NA,NA,NA,402.2693,71.451,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,3,c,1,LoElev,HiWat,3,oe1LoElev3,20,19,39,NA,NA,NA,NA,1300.92,95.6559,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,11,b,1,LoElev,HiWat,4,oe1LoElev4,31,13,44,NA,NA,NA,NA,1717,73.9449,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,1,h,1,LoElev,HiWat,5,oe1LoElev5,38,26,64,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,12,h,1,LoElev,LoWat,6,oe1LoElev6,7,11,18,NA,NA,NA,NA,413,66.2921,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,4,a,1,LoElev,LoWat,7,oe1LoElev7,35,19,54,NA,NA,NA,NA,150,125,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,1,a,1,LoElev,LoWat,8,oe1LoElev8,28,11,39,NA,NA,NA,NA,464,76.6942,NA,26-Nov-11,16-Dec-11
